=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.19 10:49:25 =~=~=~=~=~=~=~=~=~=~=~=

Tiempo ,Entrada,ANGULO,POSICION

 -0.400,0,0,0
 -0.380,0,0,0
  8.660, 0.000, 0.452, 0.271
  8.680, 0.000, 0.407, 0.271
  8.700, 0.000, 0.358, 0.271
  8.720, 0.000, 0.302, 0.271
  8.740, 0.000, 0.243, 0.271
  8.760, 0.000, 0.180, 0.271
  8.780, 0.000, 0.113, 0.271
  8.800, 0.000, 0.047, 0.271
  8.820, 0.000,-0.021, 0.271
  8.840, 0.000,-0.087, 0.271
  8.860, 0.000,-0.152, 0.271
  8.880, 0.000,-0.216, 0.271
  8.900, 0.000,-0.278, 0.271
  8.920, 0.000,-0.333, 0.271
  8.940, 0.000,-0.386, 0.271
  8.960, 0.000,-0.431, 0.271
  8.980, 0.000,-0.471, 0.271
  9.000, 0.000,-0.504, 0.271
  9.020, 0.000,-0.531, 0.271
  9.040, 0.000,-0.550, 0.271
  9.060, 0.000,-0.560, 0.271
  9.080, 0.000,-0.564, 0.271
  9.100, 0.000,-0.560, 0.271
  9.120, 0.000,-0.546, 0.271
  9.140, 0.000,-0.527, 0.271
  9.160, 0.000,-0.499, 0.271
  9.180, 0.000,-0.463, 0.271
  9.200, 0.000,-0.422, 0.271
  9.220, 0.000,-0.374, 0.271
  9.240, 0.000,-0.321, 0.271
  9.260, 0.000,-0.264, 0.271
  9.280, 0.000,-0.202, 0.271
  9.300, 0.000,-0.138, 0.271
  9.320, 0.000,-0.072, 0.271
  9.340, 0.000,-0.003, 0.271
  9.360, 0.000, 0.063, 0.271
  9.380, 0.000, 0.129, 0.271
  9.400, 0.000, 0.194, 0.271
  9.420, 0.000, 0.255, 0.271
  9.440, 0.000, 0.314, 0.271
  9.460, 0.000, 0.367, 0.271
  9.480, 0.000, 0.415, 0.271
  9.500, 0.000, 0.459, 0.271
  9.520, 0.000, 0.496, 0.271
  9.540, 0.000, 0.525, 0.271
  9.560, 0.000, 0.546, 0.271
  9.580, 0.000, 0.560, 0.271
  9.600, 0.000, 0.567, 0.271
  9.620, 0.000, 0.567, 0.271
  9.640, 0.000, 0.557, 0.271
  9.660, 0.000, 0.539, 0.271
  9.680, 0.000, 0.515, 0.271
  9.700, 0.000, 0.483, 0.271
  9.720, 0.000, 0.443, 0.271
  9.740, 0.000, 0.398, 0.271
  9.760, 0.000, 0.349, 0.271
  9.780, 0.000, 0.293, 0.271
  9.800, 0.000, 0.232, 0.271
  9.820, 0.000, 0.169, 0.271
  9.840, 0.000, 0.105, 0.271
  9.860, 0.000, 0.038, 0.271
  9.880, 0.000,-0.030, 0.271
  9.900, 0.000,-0.094, 0.271
  9.920, 0.000,-0.161, 0.271
  9.940, 0.000,-0.223, 0.271
  9.960, 0.000,-0.283, 0.271
  9.980, 0.000,-0.339, 0.271
 10.000, 0.000,-0.389, 0.271
 10.020, 0.000,-0.435, 0.271
 10.040, 0.000,-0.475, 0.271
 10.060, 0.000,-0.506, 0.271
 10.080, 0.000,-0.532, 0.271
 10.100, 0.000,-0.550, 0.271
 10.120, 0.000,-0.559, 0.271
 10.140, 0.000,-0.560, 0.271
 10.160, 0.000,-0.557, 0.271
 10.180, 0.000,-0.543, 0.271
 10.200, 0.000,-0.520, 0.271
 10.220, 0.000,-0.492, 0.271
 10.240, 0.000,-0.456, 0.271
 10.260, 0.000,-0.414, 0.271
 10.280, 0.000,-0.365, 0.271
 10.300, 0.000,-0.311, 0.271
 10.320, 0.000,-0.255, 0.271
 10.340, 0.000,-0.194, 0.271
 10.360, 0.000,-0.127, 0.271
 10.380, 0.000,-0.063, 0.271
 10.400, 0.000, 0.003, 0.271
 10.420, 0.000, 0.072, 0.271
 10.440, 0.000, 0.136, 0.271
 10.460, 0.000, 0.201, 0.271
 10.480, 0.000, 0.262, 0.271
 10.500, 0.000, 0.319, 0.271
 10.520, 0.000, 0.372, 0.271
 10.540, 0.000, 0.421, 0.271
 10.560, 0.000, 0.463, 0.271
 10.580, 0.000, 0.497, 0.271
 10.600, 0.000, 0.525, 0.271
 10.620, 0.000, 0.546, 0.271
 10.640, 0.000, 0.559, 0.271
 10.660, 0.000, 0.564, 0.271
 10.680, 0.000, 0.564, 0.271
 10.700, 0.000, 0.553, 0.271
 10.720, 0.000, 0.534, 0.271
 10.740, 0.000, 0.508, 0.271
 10.760, 0.000, 0.476, 0.271
 10.780, 0.000, 0.436, 0.271
 10.800, 0.000, 0.391, 0.271
 10.820, 0.000, 0.339, 0.271
 10.840, 0.000, 0.283, 0.271
 10.860, 0.000, 0.223, 0.271
 10.880, 0.000, 0.161, 0.271
 10.900, 0.000, 0.096, 0.271
 10.920, 0.000, 0.030, 0.271
 10.940, 0.000,-0.037, 0.271
 10.960, 0.000,-0.105, 0.271
 10.980, 0.000,-0.169, 0.271
 11.000, 0.000,-0.230, 0.271
 11.020, 0.000,-0.290, 0.271
 11.040, 0.000,-0.344, 0.271
 11.060, 0.000,-0.394, 0.271
 11.080, 0.000,-0.440, 0.271
 11.100, 0.000,-0.476, 0.271
 11.120, 0.000,-0.508, 0.271
 11.140, 0.000,-0.532, 0.271
 11.160, 0.000,-0.548, 0.271
 11.180, 0.000,-0.557, 0.271
 11.200, 0.000,-0.559, 0.271
 11.220, 0.000,-0.553, 0.271
 11.240, 0.000,-0.538, 0.271
 11.260, 0.000,-0.515, 0.271
 11.280, 0.000,-0.485, 0.271
 11.300, 0.000,-0.449, 0.271
 11.320, 0.000,-0.405, 0.271
 11.340, 0.000,-0.356, 0.271
 11.360, 0.000,-0.304, 0.271
 11.380, 0.000,-0.244, 0.271
 11.400, 0.000,-0.183, 0.271
 11.420, 0.000,-0.119, 0.271
 11.440, 0.000,-0.054, 0.271
 11.460, 0.000, 0.014, 0.271
 11.480, 0.000, 0.080, 0.271
 11.500, 0.000, 0.145, 0.271
 11.520, 0.000, 0.209, 0.271
 11.540, 0.000, 0.269, 0.271
 11.560, 0.000, 0.326, 0.271
 11.580, 0.000, 0.379, 0.271
 11.600, 0.000, 0.424, 0.271
 11.620, 0.000, 0.466, 0.271
 11.640, 0.000, 0.499, 0.271
 11.660, 0.000, 0.527, 0.271
 11.680, 0.000, 0.546, 0.271
 11.700, 0.000, 0.559, 0.271
 11.720, 0.000, 0.562, 0.271
 11.740, 0.000, 0.560, 0.271
 11.760, 0.000, 0.548, 0.271
 11.780, 0.000, 0.529, 0.271
 11.800, 0.000, 0.503, 0.271
 11.820, 0.000, 0.469, 0.271
 11.840, 0.000, 0.428, 0.271
 11.860, 0.000, 0.382, 0.271
 11.880, 0.000, 0.332, 0.271
 11.900, 0.000, 0.274, 0.271
 11.920, 0.000, 0.215, 0.271
 11.940, 0.000, 0.152, 0.271
 11.960, 0.000, 0.086, 0.271
 11.980, 0.000, 0.021, 0.271
 12.000, 0.000,-0.047, 0.271
 12.020, 0.000,-0.113, 0.271
 12.040, 0.000,-0.176, 0.271
 12.060, 0.000,-0.237, 0.271
