Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
2.94,0.019,0.03,0.0
2.945,0.019,0.032,0.0
2.95,0.019,0.03,0.0
2.955,0.019,0.032,0.0
2.96,0.019,0.03,0.0
2.965,0.019,0.03,0.0
2.97,0.019,0.03,0.0
2.975,0.019,0.03,0.0
2.98,0.019,0.03,0.0
2.985,0.019,0.032,0.0
2.99,0.019,0.03,0.0
2.995,0.019,0.032,0.0
3.0,0.019,0.032,0.0
3.005,0.019,0.032,0.0
3.01,0.018,0.027,0.0
3.015,0.019,0.03,0.0
3.02,0.019,0.027,0.0
3.025,0.019,0.032,0.0
3.03,0.019,0.03,0.0
3.035,0.02,0.032,0.0
3.04,0.019,0.03,0.0
3.045,0.019,0.032,0.0
3.05,0.019,0.032,0.0
3.055,0.019,0.03,0.0
3.06,0.019,0.03,0.0
3.065,0.019,0.032,0.0
3.07,0.019,0.03,0.0
3.075,0.02,0.03,0.0
3.08,0.019,0.03,0.0
3.085,0.019,0.032,0.0
3.09,0.02,0.032,0.0
3.095,0.019,0.03,0.0
3.1,0.019,0.032,0.0
3.105,0.019,0.03,0.0
3.11,0.02,0.032,0.0
3.115,0.019,0.03,0.0
3.12,0.019,0.032,0.0
3.125,0.019,0.032,0.0
3.13,0.019,0.032,0.0
3.135,0.019,0.03,0.0
3.14,0.019,0.032,0.0
3.145,0.019,0.032,0.0
3.15,0.019,0.032,0.0
3.155,0.019,0.032,0.0
3.16,0.019,0.035,0.0
3.165,0.019,0.035,0.0
3.17,0.019,0.032,0.0
3.175,0.018,0.032,0.0
3.18,0.019,0.032,0.0
3.185,0.019,0.03,0.0
3.19,0.019,0.03,0.0
3.195,0.019,0.032,0.0
3.2,0.02,0.032,0.0
3.205,0.019,0.03,0.0
3.21,0.019,0.032,0.0
3.215,0.019,0.032,0.0
3.22,0.019,0.032,0.0
3.225,0.019,0.03,0.0
3.23,0.019,0.032,0.0
3.235,0.018,0.032,0.0
3.24,0.019,0.03,0.0
3.245,0.019,0.03,0.0
3.25,0.019,0.032,0.0
3.255,0.019,0.03,0.0
3.26,0.019,0.032,0.0
3.265,0.019,0.03,0.0
3.27,0.019,0.032,0.0
3.275,0.019,0.032,0.0
3.28,0.019,0.032,0.0
3.285,0.019,0.03,0.0
3.29,0.019,0.03,0.0
3.295,0.019,0.032,0.0
3.3,0.019,0.03,0.0
3.305,0.019,0.03,0.0
3.31,0.019,0.032,0.0
3.315,0.019,0.035,0.0
3.32,0.02,0.03,0.0
3.325,0.019,0.032,0.0
3.33,0.019,0.032,0.0
3.335,0.019,0.032,0.0
3.34,0.019,0.03,0.0
3.345,0.019,0.03,0.0
3.35,0.019,0.032,0.0
3.355,0.02,0.032,0.0
3.36,0.019,0.03,0.0
3.365,0.019,0.032,0.0
3.37,0.019,0.03,0.0
3.375,0.019,0.032,0.0
3.38,0.019,0.03,0.0
3.385,0.019,0.032,0.0
3.39,0.018,0.032,0.0
3.395,0.019,0.032,0.0
3.4,0.018,0.03,0.0
3.405,0.019,0.032,0.0
3.41,0.019,0.032,0.0
3.415,0.019,0.032,0.0
3.42,0.019,0.03,0.0
3.425,0.019,0.035,0.0
3.43,0.018,0.035,0.0
3.435,0.019,0.03,0.0
3.44,0.019,0.032,0.0
3.445,0.019,0.032,0.0
3.45,0.019,0.032,0.0
3.455,0.019,0.03,0.0
3.46,0.019,0.03,0.0
3.465,0.019,0.032,0.0
3.47,0.02,0.03,0.0
3.475,0.019,0.03,0.0
3.48,0.019,0.032,0.0
3.485,0.019,0.032,0.0
3.49,0.018,0.032,0.0
3.495,0.018,0.03,0.0
3.5,0.019,0.032,0.0
3.505,0.019,0.032,0.0
3.51,0.019,0.03,0.0
3.515,0.019,0.027,0.0
3.52,0.019,0.032,0.0
3.525,0.018,0.032,0.0
3.53,0.019,0.032,0.0
3.535,0.019,0.03,0.0
3.54,0.019,0.035,0.0
3.545,0.018,0.032,0.0
3.55,0.018,0.032,0.0
3.555,0.018,0.032,0.0
3.56,0.019,0.032,0.0
3.565,0.019,0.03,0.0
3.57,0.019,0.03,0.0
3.575,0.019,0.03,0.0
3.58,0.019,0.032,0.0
3.585,0.019,0.03,0.0
3.59,0.019,0.03,0.0
3.595,0.018,0.032,0.0
3.6,0.019,0.035,0.0
3.605,0.019,0.032,0.0
3.61,0.019,0.03,0.0
3.615,0.019,0.032,0.0
3.62,0.019,0.03,0.0
3.625,0.019,0.032,0.0
3.63,0.019,0.03,0.0
3.635,0.019,0.032,0.0
3.64,0.019,0.03,0.0
3.645,0.019,0.032,0.0
3.65,0.019,0.03,0.0
3.655,0.019,0.032,0.0
3.66,0.019,0.032,0.0
3.665,0.019,0.03,0.0
3.67,0.019,0.03,0.0
3.675,0.019,0.032,0.0
3.68,0.019,0.03,0.0
3.685,0.02,0.027,0.0
3.69,0.019,0.032,0.0
3.695,0.02,0.032,0.0
3.7,0.019,0.03,0.0
